n_dimensions,n_clusters,mean_ent,n_neighbors,run_id
300,17,0.7205197827937353,100,275
300,18,0.7092474395575059,100,276
300,19,0.7117827962049552,100,277
300,20,0.7213873978824671,100,278
300,21,0.6713272740268053,100,279
300,22,0.6525557050353352,100,280
300,23,0.6436891046688494,100,281
300,24,0.6605964525710623,100,282
300,25,0.6321035704589558,100,283
300,26,0.6581840306100951,100,284
300,27,0.6558787001852068,100,285
300,28,0.6080005338930478,100,286
300,29,0.6069513302439931,100,287
300,30,0.6097650089973344,100,288
300,31,0.601332554518671,100,289
300,32,0.6017641837844974,100,290
300,33,0.5965112082225731,100,291
300,34,0.5935718562755007,100,292
300,35,0.5889940176341544,100,293
300,36,0.5974202376288238,100,294
300,37,0.5970688917947428,100,295
300,38,0.5988366285996127,100,296
300,39,0.5997718363548684,100,297
300,40,0.6135683455139527,100,298
300,41,0.6140919221002269,100,299
300,42,0.6078260784830469,100,300
300,43,0.5946277188419784,100,301
300,44,0.5828132153068496,100,302
300,45,0.5901240280068096,100,303
300,46,0.5808691250623543,100,304
300,47,0.5796291580755242,100,305
300,48,0.5717324135592353,100,306
300,49,0.5742455794277201,100,307
300,50,0.5722112471099599,100,308
300,51,0.5577868239057974,100,309
300,52,0.5508929195526929,100,310
300,53,0.5594363542250567,100,311
300,54,0.5487823780807095,100,312
300,55,0.5747270684273578,100,313
300,56,0.581026159452796,100,314
300,57,0.584891746988012,100,315
300,58,0.5776792028101935,100,316
300,59,0.5692772561985252,100,317
300,60,0.5569834904177717,100,318
300,61,0.5494963167909034,100,319
300,62,0.5459423684426385,100,320
300,63,0.5471309948269159,100,321
300,64,0.5495522313471675,100,322
300,65,0.5412898371275948,100,323
300,66,0.5485017469001288,100,324
300,67,0.5460892937472506,100,325
300,68,0.547648937995998,100,326
300,69,0.5432396654259997,100,327
300,70,0.5337601825100213,100,328
300,71,0.5366434076251325,100,329
300,72,0.5280015082093387,100,330
300,73,0.5271361247937935,100,331
300,74,0.5192644303251339,100,332
300,75,0.512651141195592,100,333
300,76,0.5054000791002308,100,334
300,77,0.49773486603225814,100,335
300,78,0.5010960662936729,100,336
300,79,0.5054771543278398,100,337
300,80,0.5081653008027056,100,338
300,81,0.5188411031565144,100,339
300,82,0.516564207796803,100,340
300,83,0.5068789261839685,100,341
300,84,0.5010876629605205,100,342
300,85,0.4961428512575095,100,343
300,86,0.48927265826433325,100,344
300,87,0.4824042994615108,100,345
300,88,0.4786572842979199,100,346
300,89,0.47697982913040904,100,347
250,3,0.86674513014377,5,348
250,4,0.8572678153711001,5,349
250,5,0.8613617084487067,5,350
250,6,0.8351065134971666,5,351
250,7,0.8177530386255033,5,352
250,8,0.8174534911616622,5,353
250,9,0.793766941277212,5,354
250,10,0.7872602222015164,5,355
250,11,0.768593179011651,5,356
250,12,0.7594543674713425,5,357
250,13,0.7457198390821259,5,358
250,14,0.7467581808375529,5,359
250,15,0.7567099967538451,5,360
250,16,0.7575145486670141,5,361
